record_type,ledger_index,regime,interval_s,tx_count,send_spacing_s,policy,t95_propagation_s,num_sends,estimated_bandwidth_bps,reachability,network_load_index,queueing_load_scale_s,queueing_fanout_exponent
workload,100001.0,NORMAL,2.8195182853779586,6.0,0.4699197142296598,,,,,,,,
workload,100002.0,NORMAL,3.043072713512319,5.0,0.6086145427024638,,,,,,,,
workload,100003.0,STRESSED,3.2317095593880665,17.0,0.19010056231694508,,,,,,,,
workload,100004.0,NORMAL,2.4537923572008555,12.0,0.20448269643340464,,,,,,,,
workload,100005.0,STRESSED,3.1959536508478283,33.0,0.09684708032872207,,,,,,,,
workload,100006.0,STRESSED,2.7056098958010657,24.0,0.11273374565837774,,,,,,,,
workload,100007.0,NORMAL,3.020474795724784,9.0,0.3356083106360871,,,,,,,,
workload,100008.0,NORMAL,2.504999298937519,14.0,0.17892852135267992,,,,,,,,
workload,100009.0,STRESSED,2.9238492720450067,17.0,0.17199113364970628,,,,,,,,
workload,100010.0,STRESSED,3.3729236884450664,24.0,0.14053848701854443,,,,,,,,
workload,100011.0,STRESSED,4.643630836740536,17.0,0.2731547551023845,,,,,,,,
workload,100012.0,STRESSED,2.72786951997293,27.0,0.10103220444344185,,,,,,,,
workload,100013.0,NORMAL,2.6813658362216213,7.0,0.3830522623173745,,,,,,,,
workload,100014.0,NORMAL,2.939005134737804,12.0,0.24491709456148367,,,,,,,,
workload,100015.0,NORMAL,2.361876852737857,11.0,0.21471607752162336,,,,,,,,
workload,100016.0,NORMAL,2.795076170827743,9.0,0.31056401898086033,,,,,,,,
workload,100017.0,NORMAL,3.017930867490335,10.0,0.3017930867490335,,,,,,,,
workload,100018.0,NORMAL,2.7404153276263865,10.0,0.27404153276263865,,,,,,,,
workload,100019.0,NORMAL,2.2822032215532326,8.0,0.2852754026941541,,,,,,,,
workload,100020.0,NORMAL,2.517671982845281,8.0,0.31470899785566014,,,,,,,,
workload,100021.0,NORMAL,2.4500299920060034,13.0,0.18846384553892334,,,,,,,,
workload,100022.0,NORMAL,2.61121021141539,10.0,0.261121021141539,,,,,,,,
workload,100023.0,NORMAL,2.960467483779791,12.0,0.2467056236483159,,,,,,,,
workload,100024.0,NORMAL,2.5715730281587814,12.0,0.21429775234656512,,,,,,,,
workload,100025.0,NORMAL,2.3324463238682687,6.0,0.38874105397804476,,,,,,,,
workload,100026.0,NORMAL,2.885387739260057,9.0,0.32059863769556185,,,,,,,,
workload,100027.0,NORMAL,2.5824270723349327,10.0,0.2582427072334933,,,,,,,,
workload,100028.0,NORMAL,2.61922485003676,11.0,0.23811135000334183,,,,,,,,
workload,100029.0,NORMAL,2.602398548473255,8.0,0.32529981855915685,,,,,,,,
workload,100030.0,NORMAL,2.8818622440294055,8.0,0.3602327805036757,,,,,,,,
workload,100031.0,NORMAL,2.879710012772449,11.0,0.2617918193429499,,,,,,,,
workload,100032.0,NORMAL,2.6863455593600643,8.0,0.33579319492000803,,,,,,,,
workload,100033.0,NORMAL,2.2200281321089284,5.0,0.44400562642178565,,,,,,,,
workload,100034.0,NORMAL,2.4116963527115156,10.0,0.24116963527115157,,,,,,,,
workload,100035.0,NORMAL,2.597684557694953,14.0,0.18554889697821092,,,,,,,,
workload,100036.0,NORMAL,2.9698215541032615,7.0,0.42426022201475166,,,,,,,,
workload,100037.0,NORMAL,2.4254021687213143,8.0,0.3031752710901643,,,,,,,,
